               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  20,              1.1232,             0.58169,             0.89107,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086564,           0.0086564,           0.0086564
                  21,              1.1164,             0.57891,             0.89074,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0085857,           0.0085857,           0.0085857
                  22,              1.1155,             0.58109,             0.89019,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  23,              1.1084,             0.57539,              0.8905,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084443,           0.0084443,           0.0084443
                  24,              1.1066,             0.57405,             0.88931,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083736,           0.0083736,           0.0083736
                  25,              1.1032,             0.57084,             0.88798,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083029,           0.0083029,           0.0083029
                  26,              1.1005,             0.57044,             0.88857,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082321,           0.0082321,           0.0082321
                  27,              1.0944,             0.56728,             0.88491,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081614,           0.0081614,           0.0081614
                  28,              1.0924,             0.56561,             0.88413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080907,           0.0080907,           0.0080907
                  29,              1.0887,             0.56356,             0.88496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  30,              1.0914,              0.5624,             0.88514,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0079493,           0.0079493,           0.0079493
                  31,              1.0815,             0.55835,             0.88289,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078786,           0.0078786,           0.0078786
                  32,              1.0806,             0.55993,              0.8835,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078079,           0.0078079,           0.0078079
                  33,              1.0762,             0.55579,              0.8818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0077371,           0.0077371,           0.0077371
                  34,              1.0784,             0.55883,             0.88122,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076664,           0.0076664,           0.0076664
                  35,              1.0685,             0.55155,             0.88048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075957,           0.0075957,           0.0075957
                  36,              1.0715,             0.55223,             0.88031,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  37,              1.0669,             0.55037,             0.88101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074543,           0.0074543,           0.0074543
                  38,              1.0651,             0.54868,             0.87812,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073836,           0.0073836,           0.0073836
                  39,              1.0614,             0.54662,             0.87998,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073129,           0.0073129,           0.0073129
                  40,              1.0562,             0.54333,             0.87929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072421,           0.0072421,           0.0072421
                  41,              1.0572,             0.54413,             0.87903,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071714,           0.0071714,           0.0071714
                  42,              1.0588,             0.54422,             0.87929,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071007,           0.0071007,           0.0071007
                  43,              1.0496,             0.53988,             0.87732,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  44,              1.0446,             0.53826,             0.87622,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069593,           0.0069593,           0.0069593
                  45,              1.0445,             0.53744,             0.87561,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068886,           0.0068886,           0.0068886
                  46,              1.0458,             0.53742,             0.87527,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068179,           0.0068179,           0.0068179
                  47,              1.0403,             0.53335,             0.87498,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067471,           0.0067471,           0.0067471
                  48,              1.0407,             0.53465,             0.87363,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066764,           0.0066764,           0.0066764
                  49,              1.0352,             0.53256,             0.87092,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066057,           0.0066057,           0.0066057
                  50,              1.0357,             0.53019,             0.87231,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  51,              1.0316,             0.53033,             0.87309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064643,           0.0064643,           0.0064643
                  52,               1.031,             0.52786,             0.87294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063936,           0.0063936,           0.0063936
                  53,              1.0284,             0.52701,             0.87084,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0063229,           0.0063229,           0.0063229
                  54,              1.0262,             0.52594,             0.87037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062521,           0.0062521,           0.0062521
